Item,Description,Qty,Value
trWash,Trailer Dye washout charge,0,$35.00 
trovrnit,Over Night trailer rental.  6:00 PM - 9:00 AM  Returned by 9 AM next day  ** Trailer MUST NOT be unhooked from truck  ** MUST be washed out till water runs clear  **Secured over night with another vehicle parked behind it,0,$95.00 
trOT,Driver    Over time @  $1.75 per minute  past alotted time of _________ minutes    X_________________________________,0,$1.75 
tr,U-HAUL Trailer rent @ $30.00 per hour  *******MAXIMUM SPEED 70 KPH********,0,$35.00 
Total,,0,$0.00 
ToolRnt,"Please CLEAN & WASH all tools before concrete sets, RETURN to Mini Batch Concrete by 4:30 TODAY if you can't finish today return before 9:00 AM tomorrow   THANKS",0,$0.00 
tip for driver,tip for delivery driver,0,$0.00 
SSandYd,1 Cubic Yard Washed Sand,0,$95.00 
SSand1/4Yd,1/4 Cubic Yard Washed Sand,0,$35.00 
SSand1/2Yd,1/2 Cubic Yard Washed Sand,0,$65.00 
SRocYd,1 Cubic Yard Washed Rock,0,$115.00 
SRoc1/4Yd,1/4 Cubic Yard Washed Rock,0,$45.00 
SRoc1/2Yd,1/2 Cubic Yard Washed Rock,0,$75.00 
Srebar,"10mm. ReBar 1/2""     per/foot  Includes Custom Cut to Spec.",0,$0.95 
Sblocful,"Concrete Retaining Block  60""x30""x30""  One cubic yard 4,698#",0,$0.00 
Rwhel,Wheelbarrow Rental 4 hour,0,$15.00 
Rvib3hr,Pencil Vibrator  7'whip 3 hr Rental,0,$30.00 
Rvib24hr,Pencil Vibrator 7 ' whip 24hr rental,0,$30.00 
RtrowHnd,Steel Hand Trowel,0,$7.00 
Rtpkg,"Finishing Tool Package  Hand Float, Trowel, Edger,Cutter  Bull-Float, Fresno, Broom, 2 Poles",0,$65.00 
Rrake,Concrete Rake,0,$5.00 
Rpowtr,Power Trowel,0,$75.00 
rPole,1 -  6' pole extetion,0,$5.00 
Rfres36,"Fresno 36 ""   2 Extention Handles",0,$15.00 
"Rfres24""","Fresno 24 ""  2 Extention Handles",0,$15.00 
RflotHnd,Magnesium Hand Float,0,$7.00 
RedgHnd,Hand Edger,0,$7.00 
rDumpTr,14' Dump Trailer / Day,0,$95.00 
RcutPol,Pole Seam Cutter Brass  2 Extention Handles,0,$15.00 
RcutHnd,Hand Seam Cutter,0,$7.00 
Rcomp,"Flat Plate Compactor 12""",0,$65.00 
Rbw,Rental on Big White 2.29 Meter Trailerl # 5  Rental rate of $250.00 per day,0,$250.00 
"RbullTw48""","48"" Bull Float Twist Handle  2 Extention Handles",0,$15.00 
"Rbull36""","36"" Bull Float  2 Extention Handles",0,$15.00 
"Rbull30""","30"" Bull Float  2 Extention Handles",0,$15.00 
Rbroom,"Finishing Broom 36""  2 Extention Handles",0,$15.00 
R1m,Rental for 1 Meter Trailer #   Rental Rate of $200.00 per Day,0,$200.00 
POZ,1% BASF Pozzolith Accelerant,0,$22.00 
plas,BASF MasterRheobuild Plasticizer  High-Range Water-Reducing Admixture,0,$22.00 
P&F,Place and Finish Concrete,0,$2.00 
Note,Note here,0,$0.00 
nate,REDUCED the daily rent from $200 to $150,0,$0.00 
Lid - Ratchet Strap,Lid - Ratchet Strap,0,$130.00 
LF Somerville,Load Fee on Somerville Trailer,0,$15.00 
Fibr,Polypropylene Fiber re-enforcement,0,$22.00 
DISCOUNT,Customer Loyalty Discount on concrete 7%,0,$0.00 
Deposit,Deposit on Trailer Rental,0,$0.00 
DelXtr,Delivery Charge for extra trailer,0,$80.00 
delx,Driver    Over time @  $1.75 per minute  past alotted time of _________ minutes    X_________________________________,0,$1.75 
Delay,Fritz-Pak DELAY SET / Meter,0,$20.00 
Del320,Delivery Charge    FIRST __________ MINUTES OF DRIVER WAIT TIME INCLUDED IN DELIVERY CHARGE;  THEREAFTER DRIVER WAIT TIME CHARGED @ $1.75/ MINUTE,0,$320.00 
Del300,Delivery Charge      FIRST __________ MINUTES OF DRIVER WAIT TIME INCLUDED IN DELIVERY CHARGE;  THEREAFTER DRIVER WAIT TIME CHARGED @ $1.75/ MINUTE,0,$300.00 
Del270,"Delivery Charge Calmar, Lamont, Bon Accord      FIRST __________ MINUTES OF DRIVER WAIT TIME INCLUDED IN DELIVERY CHARGE;  THEREAFTER DRIVER WAIT TIME CHARGED @ $1.75/ MINUTE",0,$270.00 
Del250,Delivery Charge   FIRST __________ MINUTES OF DRIVER WAIT TIME INCLUDED IN DELIVERY CHARGE;  THEREAFTER DRIVER WAIT TIME CHARGED @ $1.75/ MINUTE,0,$250.00 
Del230,Delivery Charge Devon      FIRST __________ MINUTES OF DRIVER WAIT TIME INCLUDED IN DELIVERY CHARGE;  THEREAFTER DRIVER WAIT TIME CHARGED @ $1.75/ MINUTE,0,$230.00 
